Date,Open,High,Low,Close,Volume
2023-06-16 14:07:00,233.978,234.168,233.976,234.168,7.0305
2023-06-16 14:08:00,234.179,234.477,234.168,234.403,15.3888
2023-06-16 14:09:00,234.447,235.355,234.447,234.516,601.7795
2023-06-16 14:10:00,234.433,234.592,234.307,234.308,85.2172
2023-06-16 14:11:00,234.267,234.512,234.267,234.443,15.84
2023-06-16 14:12:00,234.441,235.001,234.441,234.608,880.9688
2023-06-16 14:13:00,234.629,234.629,234.215,234.259,60.5594
2023-06-16 14:14:00,234.258,234.259,234.222,234.259,17.099
2023-06-16 14:15:00,234.223,234.634,234.222,234.634,136.2879
2023-06-16 14:16:00,234.634,234.659,234.49,234.659,46.9501
2023-06-16 14:17:00,234.658,234.702,234.655,234.702,234.511
2023-06-16 14:18:00,234.743,234.836,234.701,234.836,173.1726
2023-06-16 14:19:00,234.836,234.91,234.766,234.803,76.6944
2023-06-16 14:20:00,234.777,235.025,234.777,235.025,158.7869
2023-06-16 14:21:00,234.982,235.262,234.814,234.814,93.0154
2023-06-16 14:22:00,234.832,234.832,234.416,234.416,82.2346
2023-06-16 14:23:00,234.376,234.416,234.308,234.416,30.3863
2023-06-16 14:24:00,234.398,234.502,234.398,234.502,90.2206
2023-06-16 14:25:00,234.502,234.761,234.501,234.502,65.7866
2023-06-16 14:26:00,234.502,234.745,234.501,234.712,19.8232
2023-06-16 14:27:00,234.712,234.799,234.712,234.799,6.6883
2023-06-16 14:28:00,234.733,234.733,234.5,234.501,118.3249
2023-06-16 14:29:00,234.505,234.642,234.505,234.642,25.0685
2023-06-16 14:30:00,234.592,234.837,234.501,234.837,26.333
2023-06-16 14:31:00,234.809,234.829,234.582,234.594,8.3068
2023-06-16 14:32:00,234.581,234.581,234.524,234.527,3.4509
2023-06-16 14:33:00,234.594,234.841,234.593,234.734,16.2249
2023-06-16 14:34:00,234.834,234.948,234.834,234.913,10.1748
2023-06-16 14:35:00,234.998,235.437,234.944,235.358,87.5205
2023-06-16 14:36:00,235.215,235.215,234.875,234.886,14.9172
2023-06-16 14:37:00,234.912,235.277,234.9,235.267,29.3694
2023-06-16 14:38:00,235.25,235.326,235.011,235.019,24.7511
2023-06-16 14:39:00,235.011,235.011,234.791,234.8,18.3882
2023-06-16 14:40:00,234.816,234.933,234.816,234.933,0.463
2023-06-16 14:41:00,234.886,235.017,234.886,235.017,8.8865
2023-06-16 14:42:00,235.017,235.146,235.016,235.019,20.0709
2023-06-16 14:43:00,235.098,235.239,235.091,235.199,13.5795
2023-06-16 14:44:00,235.228,235.358,235.184,235.33,41.8489
2023-06-16 14:45:00,235.283,235.283,234.806,234.806,28.959
2023-06-16 14:46:00,234.806,234.871,234.805,234.845,12.7888
2023-06-16 14:47:00,234.845,234.845,234.662,234.662,9.6927
2023-06-16 14:48:00,234.672,234.718,234.631,234.718,12.9546
2023-06-16 14:49:00,234.717,234.717,234.689,234.716,4.5728
2023-06-16 14:50:00,234.706,234.706,234.641,234.649,11.1977
2023-06-16 14:51:00,234.673,234.715,234.622,234.715,5.5232
2023-06-16 14:52:00,234.716,234.742,234.716,234.742,5.0284
2023-06-16 14:53:00,234.738,234.738,234.636,234.687,10.4818
2023-06-16 14:54:00,234.742,234.811,234.736,234.811,10.7191
2023-06-16 14:55:00,234.859,235.377,234.859,235.291,57.5614
2023-06-16 14:56:00,235.347,235.69,235.252,235.69,69.2085
2023-06-16 14:57:00,235.7,235.745,235.307,235.307,34.7714
2023-06-16 14:58:00,235.351,235.351,235.15,235.252,11.6627
2023-06-16 14:59:00,235.255,235.26,235.067,235.106,8.2082
2023-06-16 15:00:00,235.066,235.256,235.066,235.256,15.7569
2023-06-16 15:01:00,235.318,235.814,235.318,235.7,41.2763
2023-06-16 15:02:00,235.689,235.801,235.54,235.54,22.6493
2023-06-16 15:03:00,235.588,235.736,235.588,235.736,4.9763
2023-06-16 15:04:00,235.736,235.799,235.591,235.769,12.9745
2023-06-16 15:05:00,235.737,235.801,235.593,235.61,13.7179
2023-06-16 15:06:00,235.61,235.61,235.318,235.358,29.7122
2023-06-16 15:07:00,235.375,235.429,235.375,235.427,3.8346
2023-06-16 15:08:00,235.427,235.429,235.4,235.4,12.176
2023-06-16 15:09:00,235.399,235.426,235.097,235.145,20.4403
2023-06-16 15:10:00,235.173,235.227,234.968,235.227,25.1641
2023-06-16 15:11:00,235.227,235.241,235.184,235.241,7.7411
2023-06-16 15:12:00,235.179,235.366,235.171,235.366,15.9051
2023-06-16 15:13:00,235.367,235.367,235.195,235.235,13.186
2023-06-16 15:14:00,235.235,235.351,235.226,235.226,14.4418
2023-06-16 15:15:00,235.237,235.237,235.07,235.08,9.2838
2023-06-16 15:16:00,235.122,235.297,235.122,235.297,3.6531
2023-06-16 15:17:00,235.297,235.515,235.248,235.484,14.8409
2023-06-16 15:18:00,235.484,235.484,235.403,235.44,9.8792
2023-06-16 15:19:00,235.451,235.593,235.451,235.579,12.1389
2023-06-16 15:20:00,235.58,235.58,235.502,235.502,6.8902
2023-06-16 15:21:00,235.498,235.535,235.497,235.53,10.9346
2023-06-16 15:22:00,235.558,235.633,235.529,235.545,8.4624
2023-06-16 15:23:00,235.601,235.601,235.497,235.497,5.2361
2023-06-16 15:24:00,235.444,235.494,235.44,235.473,5.9493
2023-06-16 15:25:00,235.443,235.443,235.117,235.117,16.9455
2023-06-16 15:26:00,235.117,235.197,235.117,235.159,9.7283
2023-06-16 15:27:00,235.16,235.43,235.16,235.405,16.2814
2023-06-16 15:28:00,235.405,235.561,235.403,235.463,27.2789
2023-06-16 15:29:00,235.462,235.463,235.43,235.43,20.2729
2023-06-16 15:30:00,235.428,235.428,234.933,234.938,30.4419
2023-06-16 15:31:00,234.895,234.895,234.689,234.724,31.997
2023-06-16 15:32:00,234.722,234.756,234.65,234.756,24.2266
2023-06-16 15:33:00,234.629,234.629,234.509,234.597,6.6185
2023-06-16 15:34:00,234.685,234.816,234.67,234.761,15.2316
2023-06-16 15:35:00,234.778,234.807,234.684,234.7,34.1084
2023-06-16 15:36:00,234.694,234.694,234.216,234.288,49.1307
2023-06-16 15:37:00,234.278,234.387,234.087,234.36,32.7422
2023-06-16 15:38:00,234.364,234.55,234.361,234.534,9.6333
2023-06-16 15:39:00,234.547,234.602,234.547,234.557,5.8297
2023-06-16 15:40:00,234.579,234.579,234.267,234.282,17.8081
2023-06-16 15:41:00,234.24,234.374,234.24,234.359,15.9874
2023-06-16 15:42:00,234.367,234.425,234.367,234.425,5.1373
2023-06-16 15:43:00,234.425,234.449,234.279,234.279,29.3056
2023-06-16 15:44:00,234.28,234.443,234.28,234.356,4.8803
2023-06-16 15:45:00,234.357,234.357,234.169,234.299,20.5947
2023-06-16 15:46:00,234.326,234.455,234.253,234.393,5.9147
2023-06-16 15:47:00,234.38,234.38,234.291,234.326,2.6552
2023-06-16 15:48:00,234.44,234.912,234.44,234.912,20.4611
2023-06-16 15:49:00,234.914,234.923,234.717,234.848,9.0452
2023-06-16 15:50:00,234.859,234.859,234.745,234.745,0.0887
2023-06-16 15:51:00,234.745,235.033,234.745,235.023,16.11
2023-06-16 15:52:00,235.055,235.164,235.037,235.145,9.102
2023-06-16 15:53:00,235.13,235.13,234.902,235.068,7.5603
2023-06-16 15:54:00,235.054,235.07,234.964,235.016,0.842
2023-06-16 15:55:00,235.048,235.225,235.048,235.196,5.8654
2023-06-16 15:56:00,235.092,235.099,234.975,234.975,1.2095
2023-06-16 15:57:00,234.932,235.004,234.832,234.909,9.9308
2023-06-16 15:58:00,234.931,234.969,234.916,234.947,10.0182
2023-06-16 15:59:00,234.91,234.963,234.91,234.962,5.8777
2023-06-16 16:00:00,234.95,235.254,234.95,235.054,25.3271
2023-06-16 16:01:00,235.052,235.053,234.763,235.053,263.086
2023-06-16 16:02:00,234.962,235.166,234.962,235.166,10.9864
2023-06-16 16:03:00,235.195,235.326,235.18,235.272,9.6335
2023-06-16 16:04:00,235.299,235.348,235.283,235.348,9.6198
2023-06-16 16:05:00,235.289,235.33,235.289,235.33,5.2019
2023-06-16 16:06:00,235.291,235.299,235.055,235.299,20.7057
2023-06-16 16:07:00,235.33,235.358,235.33,235.339,3.4189
2023-06-16 16:08:00,235.292,235.45,235.292,235.45,6.3648
2023-06-16 16:09:00,235.397,235.446,235.397,235.424,7.3757
2023-06-16 16:10:00,235.426,235.427,235.426,235.427,1.1412
2023-06-16 16:11:00,235.438,235.454,235.426,235.427,16.5551
2023-06-16 16:12:00,235.437,235.637,235.437,235.558,29.3603
2023-06-16 16:13:00,235.558,235.628,235.518,235.628,17.2883
2023-06-16 16:14:00,235.608,235.608,235.402,235.402,6.9724
2023-06-16 16:15:00,235.402,235.402,235.162,235.163,21.3346
2023-06-16 16:16:00,235.162,235.376,235.058,235.353,45.8258
2023-06-16 16:17:00,235.376,235.508,235.376,235.448,6.5097
