Date,Open,High,Low,Close,Volume
2023-06-16 11:27:00,25606.4,25606.4,25599.1,25599.5,1.44605743
2023-06-16 11:28:00,25599.5,25599.6,25592.6,25594.1,1.83214559
2023-06-16 11:29:00,25594.1,25595.6,25594.1,25595.5,0.29348606
2023-06-16 11:30:00,25595.6,25600.1,25595.5,25600.1,1.83720583
2023-06-16 11:31:00,25600.1,25600.1,25600.0,25600.0,0.99837972
2023-06-16 11:32:00,25600.0,25605.8,25600.0,25605.2,0.58571583
2023-06-16 11:33:00,25605.3,25610.0,25605.2,25609.9,0.30195604
2023-06-16 11:34:00,25609.9,25609.9,25606.3,25606.4,1.14164078
2023-06-16 11:35:00,25606.4,25606.4,25604.1,25604.5,0.43049144
2023-06-16 11:36:00,25604.6,25606.3,25604.5,25606.3,0.13879849
2023-06-16 11:37:00,25606.3,25606.3,25605.4,25605.5,0.44094858
2023-06-16 11:38:00,25605.4,25606.3,25605.4,25606.3,0.2491175
2023-06-16 11:39:00,25606.3,25608.3,25606.2,25608.3,0.50931446
2023-06-16 11:40:00,25608.3,25608.3,25608.2,25608.2,0.11403057
2023-06-16 11:41:00,25608.2,25611.4,25608.2,25611.4,2.10258738
2023-06-16 11:42:00,25611.3,25611.4,25611.3,25611.3,0.01895874
2023-06-16 11:43:00,25611.3,25611.4,25608.6,25608.6,0.7243133
2023-06-16 11:44:00,25608.6,25608.7,25606.4,25606.5,1.83075466
2023-06-16 11:45:00,25606.5,25606.6,25605.5,25605.5,0.19506057
2023-06-16 11:46:00,25605.6,25605.7,25605.5,25605.7,0.15516756
2023-06-16 11:47:00,25605.7,25605.7,25601.0,25601.0,0.98295539
2023-06-16 11:48:00,25601.0,25601.1,25597.3,25597.4,3.76870879
2023-06-16 11:49:00,25597.3,25597.4,25597.2,25597.3,0.56071852
2023-06-16 11:50:00,25597.2,25605.7,25597.2,25605.7,1.04673725
2023-06-16 11:51:00,25605.7,25605.7,25599.2,25599.2,1.10507629
2023-06-16 11:52:00,25599.2,25599.3,25599.2,25599.3,0.18079189
2023-06-16 11:53:00,25599.2,25599.3,25599.2,25599.2,2.86558025
2023-06-16 11:54:00,25599.3,25603.0,25599.2,25602.8,0.67979825
2023-06-16 11:55:00,25602.8,25603.0,25602.8,25603.0,3.43165482
2023-06-16 11:56:00,25603.0,25603.0,25602.9,25602.9,0.14276842
2023-06-16 11:57:00,25603.0,25603.0,25599.2,25599.2,2.35396859
2023-06-16 11:58:00,25599.2,25599.3,25599.2,25599.2,0.36809622
2023-06-16 11:59:00,25599.3,25599.3,25597.3,25597.4,0.40390853
2023-06-16 12:00:00,25597.4,25597.4,25597.3,25597.4,0.2699575
2023-06-16 12:01:00,25597.3,25597.4,25597.3,25597.3,0.07053537
2023-06-16 12:02:00,25597.4,25597.4,25597.3,25597.4,0.24227065
2023-06-16 12:03:00,25597.3,25597.4,25597.3,25597.4,0.46952547
2023-06-16 12:04:00,25597.3,25597.4,25597.3,25597.3,2.34087805
2023-06-16 12:05:00,25597.3,25597.4,25597.3,25597.4,0.121333
2023-06-16 12:06:00,25597.3,25599.4,25597.3,25599.4,0.89147723
2023-06-16 12:07:00,25599.4,25603.5,25599.3,25603.5,2.78705214
2023-06-16 12:08:00,25603.4,25603.5,25603.4,25603.4,0.2184158
2023-06-16 12:09:00,25603.4,25603.5,25597.3,25597.4,6.53285594
2023-06-16 12:10:00,25597.3,25597.4,25597.3,25597.3,0.61161238
2023-06-16 12:11:00,25597.4,25597.4,25576.8,25576.9,0.92772814
2023-06-16 12:12:00,25576.9,25576.9,25563.4,25565.1,2.38663795
2023-06-16 12:13:00,25565.2,25569.9,25565.2,25567.1,1.3538766
2023-06-16 12:14:00,25567.5,25570.9,25567.5,25570.9,4.58114536
2023-06-16 12:15:00,25570.9,25576.3,25570.9,25574.1,1.39973893
2023-06-16 12:16:00,25574.1,25574.1,25565.4,25565.4,1.56482478
2023-06-16 12:17:00,25565.5,25565.5,25560.1,25560.8,0.85622907
2023-06-16 12:18:00,25560.9,25568.6,25560.8,25568.6,3.19246626
2023-06-16 12:19:00,25568.5,25568.6,25568.5,25568.5,0.7159681
2023-06-16 12:20:00,25568.5,25576.0,25568.5,25576.0,1.87974834
2023-06-16 12:21:00,25575.9,25576.0,25574.3,25574.4,1.19868967
2023-06-16 12:22:00,25574.4,25584.8,25574.4,25582.3,3.6944956
2023-06-16 12:23:00,25582.2,25595.5,25582.2,25595.5,1.51494907
2023-06-16 12:24:00,25595.5,25595.5,25594.0,25594.0,1.04854118
2023-06-16 12:25:00,25593.9,25593.9,25586.3,25586.4,0.75502255
2023-06-16 12:26:00,25586.3,25586.4,25585.5,25585.6,0.56391988
2023-06-16 12:27:00,25585.6,25585.6,25585.5,25585.5,0.1604044
2023-06-16 12:28:00,25585.4,25585.4,25585.2,25585.2,0.07260432
2023-06-16 12:29:00,25585.3,25585.3,25585.0,25585.0,0.12470986
2023-06-16 12:30:00,25585.1,25585.1,25578.6,25578.6,0.24136291
2023-06-16 12:31:00,25578.7,25582.4,25578.7,25582.3,1.52640068
2023-06-16 12:32:00,25582.3,25582.5,25575.3,25575.3,5.06701608
2023-06-16 12:33:00,25575.4,25577.0,25570.8,25570.8,4.09432044
2023-06-16 12:34:00,25570.9,25570.9,25570.8,25570.8,0.21883627
2023-06-16 12:35:00,25570.8,25577.3,25570.8,25576.2,1.65987446
2023-06-16 12:36:00,25576.1,25581.3,25576.1,25579.7,0.22608766
2023-06-16 12:37:00,25579.8,25582.3,25579.7,25581.2,1.06081652
2023-06-16 12:38:00,25581.2,25581.3,25581.2,25581.2,0.34665626
2023-06-16 12:39:00,25581.3,25581.3,25581.2,25581.3,0.06245267
2023-06-16 12:40:00,25581.2,25581.3,25576.6,25576.7,1.05645642
2023-06-16 12:41:00,25576.7,25576.7,25572.6,25572.6,0.13267647
2023-06-16 12:42:00,25572.7,25581.3,25572.6,25581.3,1.02082872
2023-06-16 12:43:00,25581.3,25581.3,25574.6,25574.6,2.75963649
2023-06-16 12:44:00,25573.1,25573.1,25568.5,25568.5,1.22170071
2023-06-16 12:45:00,25568.5,25568.5,25568.2,25568.2,0.02058091
2023-06-16 12:46:00,25568.2,25568.2,25567.9,25567.9,0.39852398
2023-06-16 12:47:00,25568.0,25568.0,25567.9,25567.9,1.30523192
2023-06-16 12:48:00,25568.0,25568.1,25567.9,25568.0,0.05798637
2023-06-16 12:49:00,25568.1,25568.1,25563.9,25563.9,1.02952147
2023-06-16 12:50:00,25564.0,25570.5,25563.9,25570.4,2.7712683
2023-06-16 12:51:00,25570.5,25576.2,25570.5,25575.7,4.30160134
2023-06-16 12:52:00,25575.6,25579.4,25575.6,25579.2,3.93284145
2023-06-16 12:53:00,25579.2,25579.3,25579.2,25579.3,0.3223525
2023-06-16 12:54:00,25579.2,25582.2,25579.2,25582.1,0.36631675
2023-06-16 12:55:00,25582.1,25582.2,25577.2,25577.3,0.6005948
2023-06-16 12:56:00,25577.2,25577.3,25576.4,25576.5,0.21947671
2023-06-16 12:57:00,25576.4,25576.5,25574.6,25574.7,0.51616928
2023-06-16 12:58:00,25574.7,25574.7,25574.6,25574.7,0.56871154
2023-06-16 12:59:00,25574.6,25574.7,25569.6,25570.6,1.28575235
2023-06-16 13:00:00,25570.6,25570.6,25560.6,25566.8,3.39167405
2023-06-16 13:01:00,25566.8,25570.1,25566.8,25566.9,0.66362113
2023-06-16 13:02:00,25566.9,25566.9,25564.1,25564.1,0.92749227
2023-06-16 13:03:00,25564.2,25565.0,25562.1,25564.3,1.52791225
