Date,Open,High,Low,Close,Volume
2023-06-15 20:47:00,1654.98,1656.72,1654.97,1655.87,68.1892993
2023-06-15 20:48:00,1655.88,1656.5,1655.87,1656.5,61.9656643
2023-06-15 20:49:00,1656.5,1656.78,1655.49,1655.5,55.2198044
2023-06-15 20:50:00,1655.5,1658.24,1655.29,1658.24,125.4139748
2023-06-15 20:51:00,1658.26,1660.35,1657.69,1660.35,129.2653338
2023-06-15 20:52:00,1660.35,1664.0,1660.07,1664.0,218.0997317
2023-06-15 20:53:00,1664.02,1665.09,1661.46,1663.95,164.6133107
2023-06-15 20:54:00,1663.81,1666.5,1663.47,1664.89,224.4601192
2023-06-15 20:55:00,1664.89,1665.55,1662.38,1664.5,118.6828479
2023-06-15 20:56:00,1664.75,1666.56,1663.84,1666.56,66.1539358
2023-06-15 20:57:00,1666.58,1667.61,1665.61,1667.26,129.0886232
2023-06-15 20:58:00,1667.13,1667.54,1666.09,1666.3,113.1917926
2023-06-15 20:59:00,1666.62,1668.86,1666.57,1668.86,132.3436202
2023-06-15 21:00:00,1668.86,1671.5,1668.5,1668.5,190.3676983
2023-06-15 21:01:00,1668.39,1668.39,1665.64,1666.12,155.2954054
2023-06-15 21:02:00,1666.12,1669.35,1665.72,1669.35,34.295589
2023-06-15 21:03:00,1669.35,1670.25,1666.84,1667.28,55.6271099
2023-06-15 21:04:00,1667.2,1668.1,1665.78,1668.1,80.8447254
2023-06-15 21:05:00,1668.06,1669.07,1667.84,1669.07,48.0784123
2023-06-15 21:06:00,1669.06,1669.53,1667.38,1667.62,72.847784
2023-06-15 21:07:00,1667.7,1668.61,1666.81,1668.24,42.484234
2023-06-15 21:08:00,1668.25,1669.66,1668.25,1669.22,71.4677502
2023-06-15 21:09:00,1669.21,1671.8,1668.74,1671.11,161.674106
2023-06-15 21:10:00,1671.1,1671.79,1670.23,1670.23,156.4482246
2023-06-15 21:11:00,1670.23,1671.62,1670.22,1671.29,57.6632711
2023-06-15 21:12:00,1671.29,1671.4,1670.16,1670.85,51.6209214
2023-06-15 21:13:00,1671.11,1671.99,1670.39,1670.39,45.0447152
2023-06-15 21:14:00,1670.38,1670.8,1669.74,1670.5,48.2257503
2023-06-15 21:15:00,1670.98,1671.43,1666.41,1666.67,105.9368109
2023-06-15 21:16:00,1666.45,1667.27,1663.97,1665.03,85.7866598
2023-06-15 21:17:00,1664.54,1665.45,1663.97,1664.71,84.0367928
2023-06-15 21:18:00,1664.71,1665.34,1663.61,1665.34,36.8891221
2023-06-15 21:19:00,1665.34,1665.34,1663.24,1664.4,69.9705805
2023-06-15 21:20:00,1664.41,1667.07,1664.41,1665.54,34.4618292
2023-06-15 21:21:00,1665.54,1665.54,1664.5,1664.64,4.8783036
2023-06-15 21:22:00,1664.64,1665.57,1664.64,1665.57,19.5182183
2023-06-15 21:23:00,1665.73,1665.73,1664.68,1664.69,17.3055133
2023-06-15 21:24:00,1665.09,1666.18,1665.09,1665.79,31.6846913
2023-06-15 21:25:00,1665.78,1666.84,1665.46,1666.84,13.7114161
2023-06-15 21:26:00,1666.92,1667.78,1666.92,1667.05,14.7915905
2023-06-15 21:27:00,1667.01,1667.02,1666.3,1666.57,30.0993962
2023-06-15 21:28:00,1666.57,1666.97,1666.42,1666.89,14.3861339
2023-06-15 21:29:00,1666.89,1667.17,1666.7,1667.0,3.8445366
2023-06-15 21:30:00,1667.31,1668.11,1666.18,1666.52,33.2771207
2023-06-15 21:31:00,1666.51,1668.13,1666.51,1668.1,5.5963485
2023-06-15 21:32:00,1668.1,1669.05,1667.79,1668.59,20.6920565
2023-06-15 21:33:00,1668.58,1670.15,1668.39,1668.55,17.7474939
2023-06-15 21:34:00,1668.54,1668.71,1668.32,1668.51,49.3314166
2023-06-15 21:35:00,1668.52,1668.64,1667.76,1667.76,23.639824
2023-06-15 21:36:00,1667.66,1667.67,1665.99,1665.99,56.863249
2023-06-15 21:37:00,1665.99,1666.44,1665.25,1666.26,58.3853684
2023-06-15 21:38:00,1666.27,1666.39,1665.0,1665.0,13.5726355
2023-06-15 21:39:00,1665.01,1666.44,1665.0,1666.44,38.3699238
2023-06-15 21:40:00,1666.44,1667.76,1666.43,1667.75,38.7424235
2023-06-15 21:41:00,1667.75,1668.23,1667.12,1667.72,24.1776833
2023-06-15 21:42:00,1667.72,1667.72,1667.32,1667.71,13.3661095
2023-06-15 21:43:00,1667.71,1667.72,1667.22,1667.31,23.9441187
2023-06-15 21:44:00,1667.31,1667.48,1666.56,1666.56,8.5978082
2023-06-15 21:45:00,1666.67,1667.71,1666.44,1666.44,30.7648097
2023-06-15 21:46:00,1666.52,1666.62,1665.3,1665.34,24.8720737
2023-06-15 21:47:00,1665.29,1665.29,1663.74,1664.02,11.5839066
2023-06-15 21:48:00,1664.01,1664.75,1663.93,1663.93,11.4344194
2023-06-15 21:49:00,1664.52,1664.9,1664.29,1664.9,10.9897408
2023-06-15 21:50:00,1664.9,1666.02,1664.72,1665.79,56.5557422
2023-06-15 21:51:00,1665.78,1666.05,1665.57,1666.05,7.4408969
2023-06-15 21:52:00,1666.04,1667.09,1665.77,1665.81,18.7961189
2023-06-15 21:53:00,1665.81,1665.81,1665.44,1665.45,8.9471238
2023-06-15 21:54:00,1665.46,1665.73,1665.46,1665.73,23.5737168
2023-06-15 21:55:00,1665.72,1666.58,1665.45,1665.46,17.9156244
2023-06-15 21:56:00,1665.55,1666.93,1665.55,1666.4,7.264113
2023-06-15 21:57:00,1666.54,1666.98,1666.36,1666.98,4.7196179
2023-06-15 21:58:00,1667.0,1667.37,1666.54,1667.35,12.091205
2023-06-15 21:59:00,1667.5,1669.37,1667.5,1668.99,46.796682
2023-06-15 22:00:00,1669.0,1670.23,1668.49,1668.69,36.3005335
2023-06-15 22:01:00,1668.69,1670.44,1668.17,1669.76,38.2014462
2023-06-15 22:02:00,1669.76,1670.48,1669.24,1669.37,16.0045141
2023-06-15 22:03:00,1669.37,1670.32,1669.37,1670.07,24.2730186
2023-06-15 22:04:00,1670.01,1670.28,1669.7,1670.01,4.8739727
2023-06-15 22:05:00,1670.13,1670.32,1669.76,1670.1,10.5637191
2023-06-15 22:06:00,1670.1,1670.31,1669.27,1669.94,21.1256699
2023-06-15 22:07:00,1669.93,1669.93,1668.91,1669.54,29.0058727
2023-06-15 22:08:00,1669.53,1669.54,1668.9,1669.42,32.3362193
2023-06-15 22:09:00,1669.51,1669.72,1669.12,1669.32,46.3355449
2023-06-15 22:10:00,1669.43,1670.2,1669.43,1670.2,33.351599
2023-06-15 22:11:00,1670.31,1670.43,1670.07,1670.41,14.2504222
2023-06-15 22:12:00,1670.4,1670.4,1668.91,1668.92,17.493266
2023-06-15 22:13:00,1668.92,1669.08,1666.35,1666.36,58.1732184
2023-06-15 22:14:00,1666.36,1666.67,1664.43,1665.37,119.5605001
2023-06-15 22:15:00,1665.37,1665.47,1663.67,1663.67,55.092492
2023-06-15 22:16:00,1663.68,1664.69,1663.68,1664.68,20.2083943
2023-06-15 22:17:00,1664.69,1665.35,1664.1,1665.1,16.3928439
2023-06-15 22:18:00,1665.09,1665.23,1665.04,1665.04,4.9940907
2023-06-15 22:19:00,1664.99,1665.22,1663.39,1664.3,42.2722811
2023-06-15 22:20:00,1664.14,1664.63,1663.88,1664.34,3.4577921
2023-06-15 22:21:00,1664.34,1664.5,1664.34,1664.36,7.6566901
2023-06-15 22:22:00,1664.41,1664.49,1663.4,1663.4,10.1511891
2023-06-15 22:23:00,1663.73,1663.79,1663.3,1663.79,137.6110991
2023-06-15 22:24:00,1663.96,1664.11,1663.28,1663.41,32.1516357
2023-06-15 22:25:00,1663.42,1663.72,1663.32,1663.72,11.8647705
2023-06-15 22:26:00,1663.72,1663.72,1663.36,1663.36,6.4967993
2023-06-15 22:27:00,1663.37,1663.37,1658.77,1661.59,142.0227628
2023-06-15 22:28:00,1661.58,1661.99,1657.13,1658.77,131.914064
2023-06-15 22:29:00,1658.73,1658.73,1655.45,1655.69,85.5945791
2023-06-15 22:30:00,1656.08,1657.77,1655.0,1657.49,51.0622304
2023-06-15 22:31:00,1657.69,1657.89,1656.09,1656.1,27.6969814
2023-06-15 22:32:00,1656.24,1657.04,1654.4,1654.45,37.9332173
2023-06-15 22:33:00,1654.74,1656.57,1654.74,1656.57,17.1008057
2023-06-15 22:34:00,1656.23,1657.68,1656.15,1657.67,13.4380287
2023-06-15 22:35:00,1657.67,1658.77,1657.17,1657.21,64.0193942
2023-06-15 22:36:00,1657.43,1658.68,1657.43,1658.68,17.8645987
2023-06-15 22:37:00,1658.68,1661.23,1658.68,1659.95,47.373344
2023-06-15 22:38:00,1659.95,1660.4,1659.03,1659.37,23.2587922
2023-06-15 22:39:00,1659.42,1660.4,1659.22,1660.4,7.0855548
2023-06-15 22:40:00,1660.14,1661.12,1660.14,1661.12,3.6308927
2023-06-15 22:41:00,1661.12,1661.25,1660.12,1660.97,7.0410034
2023-06-15 22:42:00,1660.97,1660.97,1660.5,1660.69,8.9926876
2023-06-15 22:43:00,1660.68,1660.68,1660.52,1660.52,12.1934241
2023-06-15 22:44:00,1660.45,1660.45,1659.04,1659.57,27.7058673
2023-06-15 22:45:00,1659.65,1659.65,1659.03,1659.1,8.6290111
2023-06-15 22:46:00,1659.1,1659.99,1658.99,1659.78,3.4947875
2023-06-15 22:47:00,1659.94,1660.05,1659.78,1660.03,1.980921
2023-06-15 22:48:00,1660.5,1660.6,1660.08,1660.34,2.4893003
2023-06-15 22:49:00,1660.32,1660.63,1660.32,1660.43,24.3024353
2023-06-15 22:50:00,1660.29,1661.39,1660.29,1660.75,4.9544519
2023-06-15 22:51:00,1660.75,1661.27,1660.64,1660.64,7.8758917
2023-06-15 22:52:00,1660.72,1661.3,1660.72,1661.15,14.6933186
2023-06-15 22:53:00,1661.52,1661.83,1661.15,1661.35,7.4216504
2023-06-15 22:54:00,1661.35,1661.99,1661.35,1661.6,5.7854569
2023-06-15 22:55:00,1661.59,1663.6,1661.59,1662.52,40.0984682
2023-06-15 22:56:00,1662.52,1664.47,1662.51,1664.1,43.0497668
2023-06-15 22:57:00,1664.08,1665.0,1663.73,1664.99,25.4790525
2023-06-15 22:58:00,1664.8,1666.13,1664.8,1666.13,53.5315211
2023-06-15 22:59:00,1666.14,1670.57,1666.14,1670.38,154.2171799
2023-06-15 23:00:00,1670.26,1671.49,1668.39,1668.4,101.3626227
2023-06-15 23:01:00,1667.9,1671.26,1667.63,1671.06,113.455286
2023-06-15 23:02:00,1671.07,1680.86,1671.07,1676.74,485.9349998
2023-06-15 23:03:00,1676.77,1678.61,1675.16,1678.3,120.3243353
2023-06-15 23:04:00,1678.31,1679.9,1677.07,1677.07,64.8988523
2023-06-15 23:05:00,1677.0,1677.3,1675.65,1675.65,62.0621078
2023-06-15 23:06:00,1675.58,1676.56,1675.43,1676.22,9.768993
2023-06-15 23:07:00,1676.24,1678.52,1675.92,1677.6,17.3728886
2023-06-15 23:08:00,1676.97,1677.31,1675.14,1675.51,29.7161784
2023-06-15 23:09:00,1675.67,1676.68,1675.28,1675.28,16.1086248
2023-06-15 23:10:00,1675.28,1675.96,1673.55,1673.55,31.2258393
2023-06-15 23:11:00,1673.54,1673.99,1673.11,1673.16,35.0901678
2023-06-15 23:12:00,1673.42,1674.29,1673.42,1673.83,20.9852159
2023-06-15 23:13:00,1673.83,1674.01,1673.15,1673.9,20.0234704
2023-06-15 23:14:00,1673.91,1674.36,1673.61,1674.07,5.3701101
2023-06-15 23:15:00,1674.07,1674.2,1672.6,1673.25,39.6250827
2023-06-15 23:16:00,1673.26,1678.42,1673.13,1676.3,114.0061057
2023-06-15 23:17:00,1676.3,1676.95,1674.04,1675.06,15.9624515
2023-06-15 23:18:00,1675.01,1676.51,1674.6,1674.61,18.4652077
2023-06-15 23:19:00,1674.61,1676.71,1674.61,1676.71,16.7985307
2023-06-15 23:20:00,1676.72,1676.95,1675.6,1675.6,29.9680455
2023-06-15 23:21:00,1675.4,1676.02,1675.4,1675.59,7.2824893
2023-06-15 23:22:00,1675.58,1677.02,1675.52,1675.52,17.5988878
2023-06-15 23:23:00,1675.49,1676.87,1674.64,1674.64,35.0034376
2023-06-15 23:24:00,1674.71,1674.71,1672.96,1673.02,105.9461096
2023-06-15 23:25:00,1673.0,1673.0,1671.61,1671.69,15.4508279
2023-06-15 23:26:00,1671.69,1671.69,1670.0,1671.14,56.5460218
2023-06-15 23:27:00,1671.15,1673.09,1671.15,1672.35,21.5285327
2023-06-15 23:28:00,1671.88,1673.58,1671.69,1672.95,13.0919823
2023-06-15 23:29:00,1672.94,1674.89,1672.94,1674.76,11.1132907
